"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","ADAMS COUNTY County Commissioner District 2","Roger L. Hartwig","(Prefers Republican Party)","2217","69.4984","ADAMS COUNTY"
"Adams","ADAMS COUNTY County Commissioner District 2","Oscar Garza","(Prefers Republican Party)","973","30.5016","ADAMS COUNTY"
"Adams","Supreme Court Justice Position 2","Susan Owens","","2618","100","Supreme Court"
"Adams","Supreme Court Justice Position 8","Steve Gonzalez","","2369","100","Supreme Court"
"Adams","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","1152","41.5435","Supreme Court"
"Adams","Supreme Court Justice Position 9","Richard B. Sanders","","1621","58.4565","Supreme Court"
"Adams","SCHOOL DISTRICT 122 - BENGE Benge School District #122 - Special Election Proposition 1 Replacement Maintenance and Operation Levy","Levy, Yes","","23","85.1852","SCHOOL DISTRICT 122 - BENGE"
"Adams","SCHOOL DISTRICT 122 - BENGE Benge School District #122 - Special Election Proposition 1 Replacement Maintenance and Operation Levy","Levy, No","","4","14.8148","SCHOOL DISTRICT 122 - BENGE"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Ritzville School District #160 - Special Election Proposition 1 Capital Levy to Improve Jimmie Snider Field","Levy, Yes","","509","47.8383","SCHOOL DISTRICT 160 - RITZVILLE"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Ritzville School District #160 - Special Election Proposition 1 Capital Levy to Improve Jimmie Snider Field","Levy, No","","555","52.1617","SCHOOL DISTRICT 160 - RITZVILLE"
"Adams","FIRE DISTRICT 4 Fire District 4 - Special Election Proposition #1 Maintenance and Operation Levy","Approved","","7","100","FIRE DISTRICT 4"
"Adams","FIRE DISTRICT 4 Fire District 4 - Special Election Proposition #1 Maintenance and Operation Levy","Rejected","","0","0","FIRE DISTRICT 4"
