"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","WASHTUCNA PARK AND RECREATION 2 Washtucna Park and Recreation District #2 - Special Election Proposition 1 Maintenance and Operation Levy","Approved","","77","50.9934","WASHTUCNA PARK AND RECREATION 2"
"Adams","WASHTUCNA PARK AND RECREATION 2 Washtucna Park and Recreation District #2 - Special Election Proposition 1 Maintenance and Operation Levy","Rejected","","74","49.0066","WASHTUCNA PARK AND RECREATION 2"
"Adams","CEMETERY DISTRICT 3 Cemetery District 3 - Special Election Proposition 1 Maintenance and Operation Levy","Approved","","200","64.9351","CEMETERY DISTRICT 3"
"Adams","CEMETERY DISTRICT 3 Cemetery District 3 - Special Election Proposition 1 Maintenance and Operation Levy","Rejected","","108","35.0649","CEMETERY DISTRICT 3"
"Asotin","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","5833","71.6321","Statewide"
"Asotin","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","2310","28.3679","Statewide"
"Asotin","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","3497","42.9396","Statewide"
"Asotin","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","4647","57.0604","Statewide"
"Asotin","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","3014","35.7151","Statewide"
"Asotin","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","5425","64.2849","Statewide"
"Asotin","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","4030","47.681","Statewide"
"Asotin","Statewide Initiative Measure No. 502 Concerns marijuana","No","","4422","52.319","Statewide"
"Asotin","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","5071","65.3059","Statewide"
"Asotin","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","2694","34.6941","Statewide"
"Asotin","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","3156","39.6881","Statewide"
"Asotin","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","4796","60.3119","Statewide"
"Asotin","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","5103","68.0763","Washington State"
"Asotin","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","2393","31.9237","Washington State"
"Asotin","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","5435","70.6303","Washington State"
"Asotin","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","2260","29.3697","Washington State"
"Asotin","COUNTYWIDE Asotin County Proposition No. 1 ","Yes","","2939","37.3159","COUNTYWIDE"
"Asotin","COUNTYWIDE Asotin County Proposition No. 1 ","No","","4937","62.6841","COUNTYWIDE"
"Asotin","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","3453","40.6618","United States"
"Asotin","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","4855","57.1715","United States"
"Asotin","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","114","1.3424","United States"
"Asotin","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","27","0.3179","United States"
"Asotin","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","21","0.2473","United States"
"Asotin","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","2","0.0236","United States"
"Asotin","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","4","0.0471","United States"
"Asotin","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","16","0.1884","United States"
"Asotin","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","3887","46.3676","United States"
"Asotin","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","4496","53.6324","United States"
"Asotin","Congressional District 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","5250","63.0858","Congressional District 5"
"Asotin","Congressional District 5 U.S. Representative","Rich Cowan","(Prefers Democratic Party)","3072","36.9142","Congressional District 5"
"Asotin","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","3453","41.3533","Washington State"
"Asotin","Washington State Governor","Rob McKenna","(Prefers Republican Party)","4897","58.6467","Washington State"
"Asotin","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","3607","44.763","Washington State"
"Asotin","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","4451","55.237","Washington State"
"Asotin","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","4800","60","Washington State"
"Asotin","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","3200","40","Washington State"
"Asotin","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","3557","44.7478","Washington State"
"Asotin","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","4392","55.2522","Washington State"
"Asotin","Washington State State Auditor","James Watkins","(Prefers Republican Party)","4669","58.8628","Washington State"
"Asotin","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","3263","41.1372","Washington State"
"Asotin","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","3318","41.2123","Washington State"
"Asotin","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","4733","58.7877","Washington State"
"Asotin","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","3666","46.0611","Washington State"
"Asotin","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","4293","53.9389","Washington State"
"Asotin","Washington State Superintendent of Public Instruction","Randy I. Dorn","","6305","100","Washington State"
"Asotin","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","3394","43.3129","Washington State"
"Asotin","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","4442","56.6871","Washington State"
"Asotin","Legislative District 9 State Senator","Mark G. Schoesler","(Prefers G.O.P. Party)","6263","100","Legislative District 9"
"Asotin","Legislative District 9 State Representative Pos. 1","Susan Fagan","(Prefers Republican Party)","6377","100","Legislative District 9"
"Asotin","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican  Party)","6319","100","Legislative District 9"
"Asotin","COUNTYWIDE COUNTY COMMISSIONER 1","BRIAN SHINN","(States No Party Preference)","4632","57.4262","COUNTYWIDE"
"Asotin","COUNTYWIDE COUNTY COMMISSIONER 1","Mark Wood","(Prefers Republican Party)","3434","42.5738","COUNTYWIDE"
"Asotin","COUNTYWIDE COUNTY COMMISSIONER 2","Richard (Doc) Eggleston","(Prefers Republican Party)","3827","47.2061","COUNTYWIDE"
"Asotin","COUNTYWIDE COUNTY COMMISSIONER 2","Jim Fuller","(Prefers Democrat Party)","4280","52.7939","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Gerald A St. Amour","","63","1.0855","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Kit Wickenkamp","","244","4.204","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Butch Aiken","","875","15.0758","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Richard J. White","","320","5.5134","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Cameron L. Tinder","","51","0.8787","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Don Scheibe","","1403","24.173","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Brian Temple","","374","6.4438","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Linda Rue Wood","","443","7.6327","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Sandra St. Amour","","136","2.3432","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Richard (Rick) Rogers","","936","16.1268","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Steven G. Lee","","87","1.499","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Gordon Glenn","","425","7.3225","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Jack Seeh","","291","5.0138","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 1","Don Richel","","156","2.6878","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Robert (Bob) Cannon","","184","3.056","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Mark Heuett","","632","10.4966","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Adrienne Bennett","","122","2.0262","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Keith Delzer","","122","2.0262","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Tom Van Horn","","142","2.3584","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Todd Richardson","","335","5.5639","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Lewellyn (Louie) Juhl","","72","1.1958","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Leroy Croll","","36","0.5979","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Lynn Sanders","","248","4.1189","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Doug Schurman","","1373","22.8035","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Vince T. Stroops","","115","1.91","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Scott Broyles","","1217","20.2126","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Karen Juhl","","88","1.4616","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Donald O'Malley","","86","1.4283","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Joel Ristau","","415","6.8925","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Bill Derbonne","","157","2.6075","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Thomas A. Sattler","","309","5.132","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Patricia Bates","","227","3.7701","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 2","Ruth Cannon","","141","2.3418","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Rose Marie Araya","","273","5.2846","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Judy Wilder","","380","7.3558","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","Rebecca Gayle Nourse","","207","4.007","COUNTYWIDE"
"Asotin","COUNTYWIDE Free Holder Commissioner District No. 3","John (Bud) Sharp","","1662","32.1719","COUNTYWIDE"
